group_key,speaker,00:00-00:10,00:10-00:20,00:20-00:30,00:30-00:40,00:40-00:50,00:50-01:00,01:00-01:10,01:10-01:20,01:20-01:30,01:30-01:40,01:40-01:50,01:50-02:00,02:00-02:10,02:10-02:20,02:20-02:30,02:30-02:40,02:40-02:50,02:50-03:00,03:00-03:10,03:10-03:20,03:20-03:30,03:30-03:40,03:40-03:50,03:50-04:00,04:00-04:10,04:10-04:20,04:20-04:30,04:30-04:40,04:40-04:50,04:50-05:00,05:00-05:10,05:10-05:20,05:20-05:30,05:30-05:40,05:40-05:50,05:50-06:00,06:00-06:10,06:10-06:20,06:20-06:30,06:30-06:40,06:40-06:50,06:50-07:00,07:00-07:10,07:10-07:20,07:20-07:30,07:30-07:40,07:40-07:50,07:50-08:00,08:00-08:10,08:10-08:20,08:20-08:30,08:30-08:40,08:40-08:50,08:50-09:00,09:00-09:10,09:10-09:20,09:20-09:30,09:30-09:40,09:40-09:50,09:50-10:00,10:00-10:10,10:10-10:20,10:20-10:30,10:30-10:40,10:40-10:50,10:50-11:00,11:00-11:10,11:10-11:20,11:20-11:30,11:30-11:40,11:40-11:50,11:50-12:00,12:00-12:10,12:10-12:20,12:20-12:30,12:30-12:40,12:40-12:50,12:50-13:00,13:00-13:10,13:10-13:20,13:20-13:30,13:30-13:40,13:40-13:50,13:50-14:00,14:00-14:10,14:10-14:20,14:20-14:30,14:30-14:40,14:40-14:50,14:50-15:00,15:00-15:10,15:10-15:20,15:20-15:30,15:30-15:40,15:40-15:50,15:50-16:00,16:00-16:10,16:10-16:20,16:20-16:30,16:30-16:40,16:40-16:50,16:50-17:00,17:00-17:10,17:10-17:20,17:20-17:30,17:30-17:40,17:40-17:50,17:50-18:00,18:00-18:10,18:10-18:20,18:20-18:30,18:30-18:40,18:40-18:50,18:50-19:00,19:00-19:10,19:10-19:20,19:20-19:30,19:30-19:40,19:40-19:50,19:50-20:00,20:00-20:10,20:10-20:20,20:20-20:30,20:30-20:40,20:40-20:50,20:50-21:00,21:00-21:10,21:10-21:20,21:20-21:30,21:30-21:40,21:40-21:50,21:50-22:00,22:00-22:10,22:10-22:20,22:20-22:30,22:30-22:40,22:40-22:50,22:50-23:00,23:00-23:10,23:10-23:20,23:20-23:30,23:30-23:40,23:40-23:50,23:50-24:00,24:00-24:10,24:10-24:20,24:20-24:30,24:30-24:40,24:40-24:50,24:50-25:00,25:00-25:10,25:10-25:20,25:20-25:30,25:30-25:40,25:40-25:50,25:50-26:00,26:00-26:10,26:10-26:20,26:20-26:30,26:30-26:40,26:40-26:50,26:50-27:00,27:00-27:10,27:10-27:20,27:20-27:30,27:30-27:40,27:40-27:50,27:50-28:00,28:00-28:10,28:10-28:20,28:20-28:30,28:30-28:40,28:40-28:50,28:50-29:00,29:00-29:10,29:10-29:20,29:20-29:30,29:30-29:40,29:40-29:50,29:50-30:00
group01,Shirao1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,9.51,9.42,7.8,1.42,3.4,2.19,10.0,8.31,0.0,0.0,3.97,6.92,5.44,0.0,1.88,0.48,0.0,0.0,5.74,9.61,10.0,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,8.71,9.2,5.07,7.52,7.02,6.32,0.0,2.98,2.04,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group01,Ally1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,8.71,9.13,9.39,9.71,5.0,0.27,0.0,2.59,3.13,7.64,6.65,2.85,0.0,0.0,0.0,0.0,0.0,0.0,9.04,7.26,8.56,8.26,9.02,5.97,0.0,0.0,0.0,1.67,3.24,0.0,0.0,0.0,0.0,4.42,2.19,0.0,0.0,0.0,0.0,2.33,1.63,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,9.3,4.39,0.0,0.0,3.52,2.4,0.86,5.21,0.0,0.0,0.26,1.43,0.0,0.0,1.56,0.0,0.0,0.0,0.0,2.41,0.0,2.89,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,7.51,8.64,9.34,9.0,9.16,7.58,7.29,8.34,0.72,0.0,0.0,1.26,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,1.55,3.2,0.0,0.4,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group01,Terry1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.4,0.0,4.53,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,2.67,1.46,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,7.13,6.55,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,4.61,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,6.71,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.4,0.0,2.74,5.04,5.18,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group02,Ally2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,7.75,9.56,7.82,7.03,6.96,8.45,8.68,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,4.32,3.75,5.72,0.0,0.76,3.0,6.88,2.7,0.0,4.78,0.0,5.44,8.71,4.22,0.0,0.0,6.76,6.16,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.95,0.52,2.28,4.87,1.65,0.0,0.0,0.76,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,7.83,1.65,9.0,3.97,5.74,2.35,5.9,5.46,7.7,0.0,0.0,0.0,3.37,1.93,0.0,2.6,0.0,0.0,0.0,0.0,6.62,8.62,7.63,8.84,8.85,2.32,6.37,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.4,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group02,Shirao2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,4.57,9.57,10.0,9.69,7.54,5.72,4.97,3.37,0.0,1.16,0.0,0.0,0.0,0.0,1.85,10.0,4.25,9.35,3.59,0.0,1.7,0.0,0.0,0.0,0.0,0.0,4.59,4.1,0.0,0.0,0.0,0.0,0.0,0.0,7.82,1.41,0.0,7.38,0.0,0.0,2.32,3.4,0.0,2.0,1.94,9.17,0.04,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group02,Terry2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,9.53,8.48,6.1,3.12,3.03,0.0,0.0,0.0,0.0,0.0,2.81,7.89,7.01,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,8.85,3.51,4.05,0.0,0.0,0.0,0.0,3.76,4.95,5.81,0.66,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.91,0.0,0.0,1.78,7.34,3.38,7.25,7.7,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group11,Yyoli1,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.75,0.0,2.53,0.22,4.15,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,5.11,9.41,8.11,8.64,6.02,0.0,0.0,0.52,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.74,10.0,0.85,2.56,1.19,0.0,0.0,2.23,0.0,9.97,3.97,7.52,0.57,0.0,0.0,0.0,0.0,0.04,0.36,2.7,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,4.71,10.0,1.41,1.12,9.33,6.06,3.46,0.4,8.18,4.18,1.75,0.85,0.0,0.0,0.0,5.45,7.9,0.0,2.43,2.36,9.21,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,4.94,3.69,10.0,8.12,3.71,7.85,6.79,0.42,2.44,0.0,0.0,0.0,0.0,0.0,0.0,5.36,1.46,0.0,0.0,0.0,0.0,0.0,2.32,4.58,4.84,2.07,6.39,7.72,5.08,1.11,0.0,0.0,0.0,0.55,3.48,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group11,Jessica1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,2.59,4.47,1.67,1.13,0.87,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,6.77,8.83,10.0,7.47,8.69,10.0,6.34,9.24,8.15,9.1,10.0,2.1,8.99,10.0,9.1,10.0,10.0,6.87,0.4,1.15,0.0,8.79,5.66,7.33,6.98,7.46,2.2,2.68,0.0,3.88,0.0,7.94,6.58,0.67,0.4,8.91,8.78,8.19,6.98,5.99,10.0,8.74,4.06,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,7.05,3.65,6.74,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.64,6.37,0.0,3.79,6.63,8.15,7.63,9.6,5.01,0.0,1.84,5.17,6.03,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,3.73,0.0,1.09,4.5,0.0,2.15,9.58,3.46,0.0,0.0,1.81,4.0,1.32,2.44,0.0,5.05,8.38,6.44,5.09,6.47,4.94,5.04,4.61,4.96,1.37,0.0,0.57,0.0,0.4,0.0,0.0,0.0,0.4,6.34,5.27,0.0,0.0,1.09,0.0,0.0,0.0,0.0
group11,JieXu1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51,9.49,9.58,9.44,1.57,8.19,9.41,10.0,9.65,0.2,0.0,4.07,4.69,0.0,0.0,0.0,0.0,3.55,10.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,1.56,0.0,2.27,7.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,10.0,7.46,9.38,6.04,9.68,8.4,10.0,6.83,4.19,0.0,2.75,0.0,0.0,8.53,10.0,7.87,6.39,9.22,10.0,5.64,10.0,7.88,7.05,4.96,2.14,0.0,8.23,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.73,10.0,10.0,5.54,3.07,7.61,9.17,10.0,9.64,9.26,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,10.0,9.02,7.36,3.02,8.39,4.03,0.0,0.0,0.0,0.0,2.19,0.5,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,6.85,10.0,8.95,8.4,5.51,0.0,0.0,8.21,9.28,2.52,0.0,0.0,0.0,0.0
group12,Jessica2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,6.83,7.66,3.2,0.91,0.0,0.0,2.36,0.21,6.89,6.6,3.84,0.0,0.0,3.48,0.0,8.66,10.0,8.14,5.83,2.64,0.0,7.61,10.0,7.54,3.12,7.0,4.06,2.31,5.0,0.0,1.87,0.64,8.64,8.45,9.32,10.0,8.47,10.0,9.34,10.0,10.0,8.77,3.71,5.21,4.91,0.0,2.96,1.72,4.34,6.41,4.81,7.17,3.15,4.18,5.29,10.0,5.3,8.84,9.58,7.17,10.0,10.0,9.28,6.68,10.0,9.82,4.29,10.0,10.0,9.39,8.48,0.0,7.61,4.12,8.48,0.0,1.86,1.49,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,3.01,2.16,0.0,6.18,0.0,0.0,8.28,3.77,3.35,0.59,0.0,0.0,3.38,6.03,2.42,4.43,5.83,0.0,0.0,0.4,0.0,5.41,5.67,1.66,7.28,0.0,3.12,0.14,2.21,0.22,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.97,0.45,0.0,0.0,2.65,0.0,0.0,2.53,7.58,10.0,8.5,0.0,3.64,3.24,1.97,8.02,0.0,6.67,0.61,0.0,0.0,3.82,2.65,10.0,10.0,10.0,10.0,10.0,9.68,4.29,7.39,8.41,8.46,0.0,0.0,1.32,0.77,0.0,0.0,0.0,0.0,0.0
group12,Yyoli2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,2.84,3.35,7.06,9.61,0.64,7.28,0.45,1.44,0.0,2.82,10.0,5.08,9.67,0.0,0.0,0.0,1.67,7.36,7.86,0.0,0.0,2.24,3.18,0.9,4.3,7.31,3.66,10.0,6.43,9.36,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.91,0.0,0.0,0.58,0.0,0.0,0.0,3.38,1.49,0.0,0.0,1.97,0.0,2.53,1.02,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.18,3.49,0.0,0.0,0.0,1.52,9.12,0.0,0.0,1.41,9.95,3.74,0.0,0.0,5.5,9.8,2.96,0.0,2.11,0.0,7.15,5.69,6.32,6.96,2.74,8.48,8.51,0.64,6.23,3.4,0.0,0.28,0.46,5.4,3.65,6.42,0.0,0.58,4.9,9.3,2.75,10.0,4.18,4.04,3.56,2.3,4.98,0.0,0.0,6.4,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.31,0.0,1.03,6.01,10.0,3.33,1.81,4.06,2.43,1.19,0.0,0.0,0.0,0.0,4.63,3.24,1.13,10.0,2.53,4.67,2.62,6.56,1.26,6.64,0.0,0.0,0.0,0.0,0.0,0.0,2.29,2.61,0.76,1.08,3.48,5.4,0.0,0.98,0.0,0.0,0.0,0.0,0.0
group12,JieXu2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.51,0.0,0.0,2.48,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.52,1.78,10.0,2.39,0.0,0.0,0.0,0.0,0.0,3.51,5.82,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,8.31,9.24,0.5,0.0,4.19,8.43,2.14,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,9.5,8.5,1.14,0.0,0.0,2.32,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.42,0.0,1.98,6.88,1.53,0.0,0.0,0.0,0.0,0.0,9.03,10.0,9.34,0.97,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,1.99,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,7.34,2.45,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,8.43,0.82,1.05,0.0,0.0,0.0,0.0
group21,Sophie1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,3.44,0.0,3.72,8.46,2.71,0.64,0.0,0.0,0.54,3.03,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,2.84,7.5,0.2,0.0,0.0,6.52,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.94,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4.06,4.23,5.43,0.0,0.6,7.4,0.0,0.0,0.4,0.0,3.4,0.0,5.22,6.39,2.91,0.0,0.0,0.0,5.5,8.86,8.86,10.0,0.49,0.0,4.84,9.96,5.98,10.0,7.97,2.7,10.0,2.55,7.91,1.82,0.55,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,1.72,3.39,0.35,0.0,1.75,0.0,8.34,5.93,1.06,7.24,0.0,0.0
group21,Judy1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,10.0,8.62,2.78,10.0,8.77,2.09,0.0,0.0,0.0,0.0,0.0,0.0,4.17,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,1.05,0.0,0.0,0.0,0.0,0.0,6.22,0.0,4.35,0.73,7.83,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group21,Jiongjiong1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.78,5.76,2.66,0.0,3.27,2.01,0.91,7.28,7.22,0.0,0.0,1.0,3.57,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,1.74,1.15,1.48,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,2.51,0.91,0.49,0.0,2.5,0.0,4.51,3.41,5.92,6.57,0.0,3.38,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,7.9,6.9,3.31,9.33,0.48,1.24,3.63,0.0,0.0,0.0
group22,Judy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,3.93,6.72,0.88,0.72,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,6.24,4.26,3.53,4.63,0.0,5.01,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,8.18,9.23,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group22,Sophie2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.5,4.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.67,0.0,2.5,0.0,0.0,0.0,0.0,3.31,4.34,0.66,0.4,0.0,0.0,0.0,3.64,1.42,0.0,2.36,3.42,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.76,1.82,6.76,5.98,3.25,7.83,10.0,8.94,3.75,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,5.12,0.0,0.0,0.8,0.23,7.19,7.44,9.33,0.0,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0,0.0,1.22,1.79,4.39,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,1.69,2.6,1.65,1.08,0.0
