group_key,speaker,00:00-00:10,00:10-00:20,00:20-00:30,00:30-00:40,00:40-00:50,00:50-00:60,01:00-01:10,01:10-01:20,01:20-01:30,01:30-01:40,01:40-01:50,01:50-01:60,02:00-02:10,02:10-02:20,02:20-02:30,02:30-02:40,02:40-02:50,02:50-02:60,03:00-03:10,03:10-03:20,03:20-03:30,03:30-03:40,03:40-03:50,03:50-03:60,04:00-04:10,04:10-04:20,04:20-04:30,04:30-04:40,04:40-04:50,04:50-04:60,05:00-05:10,05:10-05:20,05:20-05:30,05:30-05:40,05:40-05:50,05:50-05:60,06:00-06:10,06:10-06:20,06:20-06:30,06:30-06:40,06:40-06:50,06:50-06:60,07:00-07:10,07:10-07:20,07:20-07:30,07:30-07:40,07:40-07:50,07:50-07:60,08:00-08:10,08:10-08:20,08:20-08:30,08:30-08:40,08:40-08:50,08:50-08:60,09:00-09:10,09:10-09:20,09:20-09:30,09:30-09:40,09:40-09:50,09:50-09:60,10:00-10:10,10:10-10:20,10:20-10:30,10:30-10:40,10:40-10:50,10:50-10:60,11:00-11:10,11:10-11:20,11:20-11:30,11:30-11:40,11:40-11:50,11:50-11:60,12:00-12:10,12:10-12:20,12:20-12:30,12:30-12:40,12:40-12:50,12:50-12:60,13:00-13:10,13:10-13:20,13:20-13:30,13:30-13:40,13:40-13:50,13:50-13:60,14:00-14:10,14:10-14:20,14:20-14:30,14:30-14:40,14:40-14:50,14:50-14:60,15:00-15:10,15:10-15:20,15:20-15:30,15:30-15:40,15:40-15:50,15:50-15:60,16:00-16:10,16:10-16:20,16:20-16:30,16:30-16:40,16:40-16:50,16:50-16:60,17:00-17:10,17:10-17:20,17:20-17:30,17:30-17:40,17:40-17:50,17:50-17:60,18:00-18:10,18:10-18:20,18:20-18:30,18:30-18:40,18:40-18:50,18:50-18:60,19:00-19:10,19:10-19:20,19:20-19:30,19:30-19:40,19:40-19:50,19:50-19:60,20:00-20:10,20:10-20:20,20:20-20:30,20:30-20:40,20:40-20:50,20:50-20:60,21:00-21:10,21:10-21:20,21:20-21:30,21:30-21:40,21:40-21:50,21:50-21:60,22:00-22:10,22:10-22:20,22:20-22:30,22:30-22:40,22:40-22:50,22:50-22:60,23:00-23:10,23:10-23:20,23:20-23:30,23:30-23:40,23:40-23:50,23:50-23:60,24:00-24:10,24:10-24:20,24:20-24:30,24:30-24:40,24:40-24:50,24:50-24:60,25:00-25:10,25:10-25:20,25:20-25:30,25:30-25:40,25:40-25:50,25:50-25:60,26:00-26:10,26:10-26:20,26:20-26:30,26:30-26:40,26:40-26:50,26:50-26:60,27:00-27:10,27:10-27:20,27:20-27:30,27:30-27:40,27:40-27:50,27:50-27:60,28:00-28:10,28:10-28:20,28:20-28:30,28:30-28:40,28:40-28:50,28:50-28:60,29:00-29:10,29:10-29:20,29:20-29:30,29:30-29:40,29:40-29:50,29:50-29:60
group01,Ally1,8,8,18,9,11,17,12,12,11,17,7,6,9,4,0,0,0,2,0,0,0,8,12,0,0,0,0,0,0,0,14,0,4,2,0,0,0,6,4,9,11,11,5,0,0,2,0,0,3,0,3,15,9,0,0,0,0,0,5,19,4,5,1,0,1,20,5,3,1,7,18,5,5,5,6,12,3,8,15,1,4,0,1,0,0,4,16,1,4,0,0,0,0,8,2,0,0,0,0,12,12,6,9,1,10,9,10,13,6,0,2,8,3,0,5,14,9,0,0,5,5,8,11,7,17,11,4,9,6,3,3,6,4,12,4,10,13,6,11,8,13,15,6,16,18,7,7,6,16,12,9,4,14,12,10,13,14,9,4,6,5,2,8,21,17,14,6,16,3,2,4,5,0,0,3,0,0,0,1,1
group01,Shirao1,0,0,0,0,1,1,0,2,4,3,0,14,2,10,14,14,15,17,13,0,0,13,1,2,0,0,6,10,6,0,0,0,1,11,20,8,0,0,0,2,6,4,7,6,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,8,3,1,3,0,0,1,0,0,0,0,5,1,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,9,7,4,9,0,1,0,0,5,5,11,1,12,14,14,11,5,21,16,8,3,2,3,18,14,8,9,5,7,7,5,13,9,5,8,8,8,6,11,16,4,1,1,11,8,6,14,6,21,0,6,4,0,4,0,0,0,1,3,5,2,1,0
group01,Terry1,9,13,16,9,0,0,10,15,1,5,10,10,6,3,0,10,8,3,3,0,3,3,0,0,0,3,11,6,5,13,8,6,5,0,3,0,0,0,5,7,16,5,5,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,13,10,0,7,11,11,9,14,9,0,4,0,7,0,0,12,1,0,1,10,0,12,18,0,0,0,3,9,0,0,0,0,8,3,0,14,12,1,7,11,12,13,6,8,4,8,6,14,12,8,0,0,0,0,0,0,0,0,0,0,9,5,3,5,1,10,1,0,0,0,0,0,3,6,2,0,4,0,0,3,0,3,6,10,6,8,0,8,6,5,3,18,8,5,11,2,3,0,6,12,5,0,0,0,0,0,0
group02,Ally2,0,0,0,3,1,4,3,7,17,12,11,16,4,0,12,4,5,6,7,4,2,0,2,0,0,6,11,5,16,7,10,5,9,14,15,4,6,3,11,11,10,9,15,12,13,12,11,13,15,8,15,4,0,0,2,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,7,7,12,0,5,3,1,4,4,0,0,4,11,10,5,4,0,0,0,0,0,0,0,0,3,11,4,5,0,0,0,0,0,5,11,8,5,10,12,5,0,2,8,7,12,12,13,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4,0,0,0,15,8,2,7,16,14,19,10,8,9,17,4,10,11,7,10,15,16,7,10,0,0,0,0,0,0,0
group02,Shirao2,2,1,2,1,3,0,7,3,0,0,0,10,4,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,6,1,2,3,6,7,11,4,0,4,2,1,10,11,2,12,16,15,13,15,22,1,3,14,17,1,18,12,17,14,2,0,0,13,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,10,2,4,13,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,13,2,0,0,6,0,0,0,0,0,3,0,0,1,1,1,2,0,0,2,2,2,0,2,4,0,3,0,0,0,0,4,0,0,3,3,6,7,2,5,0,2,6,11,0,2,5,0,0,8,0,0,0,18,13,7,13,15,0,1,0,3,1,2,0,0,2,0,5
group02,Terry2,2,6,14,12,2,5,20,18,9,6,9,10,0,0,0,8,2,1,8,19,9,0,0,0,0,8,2,2,2,12,2,1,7,0,16,0,12,2,19,15,0,1,0,0,0,0,0,0,2,10,14,9,6,5,12,7,0,0,0,0,0,0,0,3,10,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,22,16,10,15,11,7,0,12,3,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,14,9,10,5,0,0,2,5,4,1,6,9,8,0,0,0,3,11,11,2,0,0,0,0,0,13,7,16,1,4,0,0,6,7,0,0
group11,Yyoli1,12,16,0,0,0,0,5,13,2,1,0,0,0,2,13,1,4,13,7,6,11,3,14,0,9,0,0,0,0,4,2,0,13,9,0,0,0,0,0,0,0,0,0,0,0,1,5,2,12,7,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,12,3,0,0,5,0,1,9,6,0,0,0,6,13,3,21,21,10,6,8,4,6,12,11,14,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,3,3,1,0,3,0,0,6,21,4,0,7,0,0,0,0,0,0,5,8,13,7,10,0,0,6,13,7,12,0,0,0,0,0,0,4,2,0,0,0,0,0,0,11,7,5,7,0,0,5,5,2,6,6,0,0,0,0,0,0,8,0,0
group11,Jessica1,0,0,4,10,5,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,0,0,5,2,0,0,0,0,7,1,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,7,11,10,2,4,7,12,11,5,10,14,16,15,5,0,6,0,3,8,16,12,1,0,4,8,11,4,0,0,0,0,0,0,3,0,0,0,1,12,0,0,0,2,13,15,18,13,12,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,1,2,0,0,0,6,5,0,0,0,0,0,0,0,0,11,0,0,13,16,16,0,0,0,0,2,9,12,11,2,12,15,11,13,0,0,6,9,4,6,16,23,15,0,0,0,0,2,0,0,3,10,0
group11,JieXu1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group12,Yyoli2,4,1,0,0,0,0,0,5,8,1,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,7,14,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,6,8,0,1,2,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group12,Jessica2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,6,17,15,14,2,3,11,2,5,0,11,15,13,17,15,11,9,0,10,17,0,9,9,3,9,0,11,0,10,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,5,0,0,1,14,7
group12,JieXu2,0,17,17,8,15,19,9,21,8,17,13,0,13,12,4,9,17,14,15,14,16,17,17,13,13,15,7,12,2,2,2,0,1,9,16,11,12,0,0,0,2,20,0,0,10,0,1,8,0,0,0,0,1,14,14,9,5,17,10,13,6,9,0,0,1,3,0,7,0,6,13,0,3,11,0,4,8,0,0,0,6,8,2,13,8,3,4,0,0,0,8,0,0,6,0,14,1,0,7,16,0,0,0,0,0,15,7,0,0,0,2,0,0,10,17,2,2,8,3,1,0,0,3,18,19,0,3,14,0,0,0,0,1,0,0,6,13,14,14,1,14,5,5,19,14,11,9,0,0,12,0,13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,9
group21,Judy1,13,4,6,11,13,12,12,5,9,17,13,13,15,14,9,15,15,11,12,15,8,12,11,13,15,16,14,14,5,15,14,14,15,10,9,11,8,5,11,6,12,15,8,3,9,13,18,15,13,14,11,10,16,19,3,0,0,0,0,3,4,2,17,7,0,0,0,0,0,0,9,10,12,11,12,1,0,0,0,0,9,21,10,1,5,6,0,3,6,4,7,4,5,7,4,12,12,13,10,14,17,15,8,1,0,18,35,0,0,4,11,12,14,0,0,4,4,0,3,7,4,0,0,0,0,3,0,1,0,1,0,0,0,5,8,4,10,13,8,7,2,2,1,11,9,1,1,1,5,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,3,5,9,11,7,5,3,13,17,5,1,10
group21,Jiongjiong1,3,7,5,5,2,9,13,10,1,0,0,3,10,11,22,7,8,8,9,9,15,8,8,0,1,10,10,19,13,2,1,0,15,15,11,0,7,11,17,10,7,10,11,11,8,0,4,15,4,7,8,10,2,10,5,13,9,9,12,8,4,12,6,0,2,0,0,2,1,5,9,11,4,0,0,2,2,0,0,4,8,13,11,12,11,10,3,9,7,10,15,5,4,8,10,3,0,8,8,6,8,11,12,0,0,0,0,6,6,14,10,7,5,10,11,4,9,5,7,9,7,7,9,10,0,0,0,4,0,0,0,0,0,0,0,0,0,4,9,15,17,15,4,4,0,7,12,5,10,13,6,0,0,0,0,0,0,0,0,0,14,9,16,8,10,15,17,18,6,0,0,0,0,0,0,0,0,0,1,5
group21,Sophie1,0,0,1,0,0,8,11,7,5,13,12,5,11,2,0,0,0,0,0,0,2,1,5,7,4,0,0,0,0,1,10,1,6,5,6,0,0,0,1,6,0,4,0,2,1,1,3,0,0,6,1,6,9,6,0,1,10,4,5,3,10,10,7,9,7,3,7,4,9,7,14,12,13,7,7,14,8,8,9,2,12,14,13,8,10,12,14,6,10,6,19,17,15,15,13,13,11,10,5,13,10,15,7,3,8,12,9,8,11,10,5,10,12,12,16,19,15,13,9,16,15,15,17,13,8,17,7,9,2,9,9,3,2,15,12,8,8,11,5,10,9,11,10,11,5,13,0,0,0,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,0,2,6,3,0,0,0,3,0,0
group22,Judy2,4,0,0,0,3,3,13,10,11,15,14,16,9,10,10,8,3,15,19,11,13,9,11,11,14,11,10,6,7,12,5,9,14,16,15,14,16,9,3,3,3,11,16,0,11,13,11,0,3,7,15,13,5,12,13,10,7,12,10,14,12,11,7,13,15,11,7,10,13,14,7,9,15,12,14,8,14,13,13,12,13,3,4,3,0,5,10,13,15,17,13,10,13,13,10,0,0,12,11,7,10,0,0,0,7,10,10,10,4,12,13,5,10,9,14,13,13,8,11,7,3,14,10,9,16,4,3,8,0,1,10,8,11,10,3,8,5,0,0,0,2,10,11,3,6,7,12,12,2,9,22,11,4,11,14,8,9,3,0,0,0,0,9,7,3,1,0,0,5,0,0,0,0,0,0,4,0,0,0,0
